TimeStep, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, gyro_w
81.13066, -3.146, 0.735, -1.964, -0.035, -0.646, -0.685, 0.333
81.15199, -3.883, 0.121, -3.887, -0.108, -0.523, -0.706, 0.465
81.21599, 2.206, -0.838, 2.508, -0.095, -0.630, -0.685, 0.352
81.25866, -1.258, 0.514, 0.093, -0.091, -0.651, -0.666, 0.353
81.30132, -4.069, 0.203, -2.414, -0.126, -0.588, -0.681, 0.418
81.36533, 2.038, -0.773, 1.462, -0.168, -0.591, -0.693, 0.378
81.53599, 1.464, -0.635, 2.126, -0.127, -0.687, -0.636, 0.328
81.55733, -1.970, 0.129, -0.776, -0.121, -0.700, -0.623, 0.329
81.57866, -2.634, -0.218, -2.768, -0.180, -0.599, -0.648, 0.433
81.66399, 1.767, -0.764, 2.290, -0.207, -0.588, -0.653, 0.431
81.70664, -2.011, 0.202, -0.722, -0.168, -0.648, -0.626, 0.399
81.79199, 1.380, -0.783, 1.930, -0.196, -0.643, -0.622, 0.402
81.83465, -0.930, -0.111, -0.310, -0.179, -0.652, -0.617, 0.402
81.91998, 1.544, -0.802, 1.744, -0.200, -0.644, -0.619, 0.402
81.96265, -0.387, -0.109, 0.192, -0.174, -0.680, -0.606, 0.374
82.06932, 0.642, 1.118, 1.855, -0.179, -0.676, -0.604, 0.383
82.11199, 0.049, -1.649, -0.877, -0.363, 0.601, 0.695, 0.151
82.19733, 0.693, 1.330, 2.010, -0.320, 0.595, 0.724, 0.140
82.21866, 0.021, -1.421, -0.515, -0.347, 0.597, 0.709, 0.142
82.34664, 0.746, 1.687, 2.105, -0.308, 0.592, 0.731, 0.142
82.36798, -0.103, -1.255, -0.448, -0.325, 0.583, 0.731, 0.138
82.47465, 0.678, 1.441, 2.177, -0.300, 0.584, 0.740, 0.144
82.49599, -0.181, -1.529, -0.682, -0.313, 0.579, 0.741, 0.132
82.60265, 0.685, 1.191, 2.206, -0.304, 0.580, 0.743, 0.138
82.64533, 0.004, -2.068, -1.177, -0.299, 0.563, 0.761, 0.122
82.73066, 0.571, 0.790, 1.976, -0.320, 0.572, 0.740, 0.151
82.79465, 0.125, -2.749, -1.988, -0.294, 0.545, 0.774, 0.132
82.83733, 0.695, 1.433, 1.928, -0.236, 0.520, 0.810, 0.137
82.96533, 0.766, 0.584, 1.568, -0.293, 0.539, 0.778, 0.137
83.02932, 0.219, -1.021, -1.277, -0.289, 0.515, 0.802, 0.089
93.03465, 0.155, -2.446, -1.687, -0.347, 0.442, 0.768, 0.306
93.24798, 0.536, 0.879, 0.183, -0.548, 0.458, 0.587, 0.381
93.39732, 1.034, 1.048, 1.205, -0.523, 0.470, 0.607, 0.371
93.50399, 0.111, -0.540, -0.507, -0.493, 0.488, 0.609, 0.386
93.54665, 0.475, -3.317, -1.794, -0.393, 0.488, 0.702, 0.339
93.58932, 0.806, 0.172, -0.206, -0.393, 0.480, 0.712, 0.329
93.632, 1.132, 1.242, 1.229, -0.490, 0.483, 0.627, 0.365
94.44265, 0.249, -0.029, -0.189, -0.478, 0.483, 0.651, 0.337
94.57066, 0.882, 0.413, 0.489, -0.427, 0.468, 0.717, 0.292
94.67732, 0.472, 0.405, 0.142, -0.518, 0.477, 0.619, 0.348
94.69866, -1.937, -0.513, -1.066, -0.487, 0.479, 0.646, 0.341
95.14664, 0.096, -0.434, -0.022, 0.052, -0.716, -0.665, 0.208
95.35998, 0.506, -0.498, 0.241, 0.055, -0.698, -0.666, 0.257
95.57331, -0.075, -0.915, 0.315, -0.098, -0.498, -0.642, 0.575
95.65866, -0.551, -0.077, -1.029, -0.076, -0.463, -0.636, 0.613
95.82932, 0.587, -0.508, 0.525, -0.006, -0.609, -0.639, 0.470
96.42664, 0.587, -0.394, -0.114, 0.163, -0.742, -0.612, 0.219
97.72798, -2.485, -0.368, -0.815, 0.003, -0.580, -0.808, 0.104
97.91998, -3.060, -0.958, -0.662, 0.008, -0.653, -0.750, -0.101
98.11199, -0.634, -0.737, -0.594, 0.147, -0.679, -0.718, 0.047
99.28533, -2.698, -0.594, -1.106, 0.002, -0.602, -0.798, 0.015
99.37066, 1.936, -0.635, 0.313, 0.017, -0.644, -0.725, -0.242
99.47733, -1.588, -1.156, -0.958, -0.004, -0.634, -0.763, -0.126
99.62664, -2.677, -0.754, -0.908, 0.012, -0.672, -0.730, -0.122
100.5013, -1.134, -1.330, -0.581, -0.069, -0.688, -0.643, 0.328
100.9066, -1.410, -0.112, -2.324, 0.108, -0.549, -0.822, -0.108
101.0133, 2.098, -0.718, 0.270, 0.040, -0.503, -0.819, -0.272
101.0987, -2.591, -0.844, -1.788, 0.010, -0.516, -0.828, -0.218
101.312, -0.861, 0.084, 0.234, -0.023, -0.502, -0.857, -0.117
